Release: EDGARv4.3.2_FT2016 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timeseries 1970-2016 of CO2 emissions by country and sector (Transport, Other industrial combustion, Buildings, Non-combustion, Power Industry) in kton CO2 / year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2_FT2016  (1970 - 2016), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=CO2emi, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,sector,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,Argentina,Power Industry,CO2,23834.6,23834.6,24973.2,25055.6,23433.2,22975.4,24337.5,26388.1,23456.9,25073.7,22319.3,20665.9,19289.8,20612.7,19266.9,17199.6,19682.8,19757.7,27475.8,26399.4,20292.4,22274.4,21336.4,21118.9,21033.2,18592.1,25925.6,23904.6,25678,29628.9,30321,24272.9,21999.8,25495.2,31071.3,33353.3,36003.9,40805.7,45189.2,45038.9,46249.8,51037.2,51037.2,49722.63,52915.55,53918.87,54009.55
ARG,Argentina,Buildings,CO2,13194.6,13194.6,12529.3,15026.8,15483.7,16223.7,17565.7,18603.2,18271.5,18803.3,18400.5,19401.4,18639.8,20139,20536.8,20829.7,20209.4,21721.4,22630.9,21192.7,22014.4,22122,22233.4,24719.9,25430.9,25868.1,28375,25779.7,25898,26704,26996.5,25704.7,24734.7,26970.4,29536.9,31248.3,32825.5,33162.3,37373,36511.1,36473,33731.6,33731.6,32862.77,34973.04,35636.16,35696.09
ARG,Argentina,Non-combustion,CO2,4604.768,4941.472,4905.493,5286.254,5433.446,5617.755,6260.874,5977.217,7446.999,7723.728,7558.311,6782.222,6314.186,6177.274,5590.492,5590.389,8157.746,8269.259,8028.861,7628.889,6822.255,5821.4,7068.225,5683.405,6492.088,7305.401,7062.489,8307.863,8265.059,8765.173,7075.494,7849.412,7528.076,8526.167,8778.052,9094.083,10419.14,10966.25,11777.77,10901.48,11113.28,11185.45,12446.74,13181.42,13513.32,12731.5,12734.94
ARM,Armenia,Other industrial combustion,CO2,4129.62,4129.62,4383.87,4655.13,4932.64,5208.99,5402.7,5624.61,5837.89,6059.88,6295.29,6286.29,6273.64,6319.93,6376.5,6437.21,6489.81,6561.77,6679.26,6686.9,3806.59,3990.57,1376.89,1999.57,636.327,505.256,446.468,851.215,973.116,1028.19,722.736,800.098,798.471,987.528,1096.92,1358.46,1436.44,1170.02,1343.99,961.442,515.727,596.904,665.458,640.9926,638.5461,647.9326,666.3179
ARM,Armenia,Buildings,CO2,2862.92,2862.92,3064.05,3261.07,3450.29,3995.09,3947.89,4106.62,4271.36,4437.63,5003.94,5189.18,5290.09,5417.49,5577.08,5785.31,5907.43,6079.79,6277.83,6365.8,6974.51,6000.88,2583.11,916.942,1059.73,1357.2,359.342,439.766,456.288,377.272,528.054,551.518,648.285,823.677,994.214,1149.8,1145.56,1486.5,1629.69,1519.42,1409.36,1572.85,1572.85,1515.025,1509.242,1531.428,1574.882
ARM,Armenia,Power Industry,CO2,2064.71,2064.71,2283.41,2743.25,3179.54,3534.83,3757.43,3939.22,4135.17,4348.23,4528.11,4790.13,4886.75,4938.53,4848,4825.35,4708.79,4662.53,4382.53,3953.65,6099.87,7798.96,4866.04,812.912,820.899,1391.96,1536.09,1800.78,1785.94,1455.4,1600.48,1539,917.179,877.965,766.494,949.212,903.154,1081.22,1040.09,645.15,632.584,945.173,945.173,910.424,906.9491,920.2811,946.3943
ARM,Armenia,Transport,CO2,1249.64,1249.64,1366.73,1478.67,1607.49,1788.91,1909.5,1928.49,1962.97,2032.89,2153.22,2109.98,2051.94,1979.39,1931.25,1900.7,1983.91,2038.34,2091.65,2146.78,2961.86,2896.74,1829.52,1189.19,158.558,112.82,60.984,64.0332,67.0823,70.1316,570.201,567.151,542.757,585.446,607.229,671.57,664.992,1058.81,1258.26,1142.53,1262.79,1294.73,1209.35,1164.889,1160.442,1177.501,1210.913
ARM,Armenia,Non-combustion,CO2,518.8416,537.3832,553.8382,572.3883,591.5201,615.0664,624.8384,633.2243,632.4904,623.0669,630.7181,632.4847,1018.913,960.7735,972.3214,990.482,984.0334,980.8572,906.6901,820.8767,729.1604,746.3742,224.6897,139.9963,89.99682,134.8656,158.396,162.7238,167.7352,156.2294,129.4308,159.4303,180.3179,185.4439,261.1869,304.0316,321.5929,375.9447,409.3811,272.9651,300.9006,302.9,323.0745,198.9406,194.2632,184.2869,199.3378
ABW,Aruba,Power Industry,CO2,3.65487,3.65487,3.70534,3.727,3.7967,4.07912,52.4703,50.6576,172.025,179.124,171.564,228.591,266.988,204.114,221.016,300.181,192.406,310.722,249.954,268.003,271.702,283.524,297.393,313.583,303.997,307.672,4.10676,3.79867,4.7311,4.03228,5.31355,5.98439,5.90526,6.14612,6.15337,6.08796,6.01724,6.2067,6.33783,6.34819,6.44196,7.42717,7.42717,8.1703,8.294155,8.627632,8.758373
ABW,Aruba,Buildings,CO2,0.090406,0.090664,0.098132,0.098482,0.094293,0.100277,21.9335,20.1414,59.4881,77.0174,98.39,56.2765,49.3903,38.0891,50.5698,72.8867,69.8759,91.8148,72.8408,79.6686,84.0267,86.0921,93.6876,96.6477,108.164,108.767,3.95516,7.85641,17.3927,22.2177,107.503,111.147,111.99,113.272,90.1091,80.9816,77.9594,100.803,89.184,99.9834,138.267,100.701,100.701,110.7767,112.456,116.9774,118.7501
